Quest,Start Date,Duration (in days),Reward (in rupees),Difficulty,Location,Quest Giver
Robbie's Research,1,3,750,Hard,Hateno Ancient Tech Lab,Purah
A Parent's Love,2,2,500,Easy,Tarrey Town,Ruli
The Weapon Connoisseur,1,4,920,Medium,Hateno Village,Nebb
Sunshroom Sensing,3,8,1050,Hard,Hateno Ancient Tech Lab,Symin
Sunken Treasure,5,1,200,Easy,Lurelin Village,Rozel
Cooking with Koko,3,4,400,Medium,Kakariko Village,Koko
Arrows of Burning Heat,7,5,1200,Very Hard,Snowfield Stable,Rola
Stalhorse: Pictured!,12,3,370,Medium,Rito Village,Juannelle
Curry for What Ails You,6,8,840,Hard,Goron City,Lester
The Jewel Trade,19,2,165,Easy,Hateno Ancient Tech Lab,Ramella
Slated for Upgrades,23,7,1520,Very Hard,Gerudo Town,Purah
Medicinal Molduga,14,4,600,Medium,Gerudo Town,Malena
Tools of the Trade,8,3,430,Easy,Gerudo Town,Isha
A Gift for the Great Fairy,20,7,1100,Very Hard,Tabantha Bridge Stable,Toren
A Rare Find,28,3,590,Medium,Outskirt Stable,Trott
Frog Catching,10,4,900,Hard,Zora's Domain,Jihato
Luminous Stone Gathering,13,6,230,Very Hard,Zora's Domain,Ledo
A Freezing Rod,25,4,1120,Very Hard,Great Hyrule Forest,Kula
Rushroom Rush!,9,1,460,Easy,Gerudo Canyon Stable,Pirou
The Hero's Cache,16,10,780,Medium,Kitano Bay,Kass
A Gift of Nightshade,4,5,410,Hard,Tuft Mountain,Wabbin
Lynel Safari,11,3,570,Easy,Zora's Domain,Laflat
Riddles of Hyrule,7,2,1200,Hard,Great Hyrule Forest,Walton
An Ice Guy,2,23,2100,Very Hard,Kara Kara Bazaar,Guy